29-02-2024 10:36:28.944 [main] INFO  com.example.demo.DemoApplication.logStarting - Starting DemoApplication using Java 21.0.2 with PID 23700 (C:\Users\reija.drieux\Documents\09_JavaSpring\cn_spring_squareGames\demo\demo\target\classes started by reija.drieux in C:\Users\reija.drieux\Documents\09_JavaSpring\cn_spring_squareGames\demo\demo)
29-02-2024 10:36:28.947 [main] DEBUG com.example.demo.DemoApplication.logStarting - Running with Spring Boot v3.2.2, Spring v6.1.3
29-02-2024 10:36:28.947 [main] INFO  com.example.demo.DemoApplication.logStartupProfileInfo - The following 1 profile is active: "mysql"
29-02-2024 10:36:29.466 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
29-02-2024 10:36:29.508 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 36 ms. Found 1 JPA repository interface.
29-02-2024 10:36:29.882 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8080 (http)
29-02-2024 10:36:29.893 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
29-02-2024 10:36:29.894 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
29-02-2024 10:36:29.895 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.18]
29-02-2024 10:36:29.937 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
29-02-2024 10:36:29.938 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 949 ms
29-02-2024 10:36:30.008 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
29-02-2024 10:36:30.285 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5a2ae1ab
29-02-2024 10:36:30.287 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
29-02-2024 10:36:30.358 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
29-02-2024 10:36:30.412 [main] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.4.1.Final
29-02-2024 10:36:30.443 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
29-02-2024 10:36:30.675 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
29-02-2024 10:36:31.412 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
29-02-2024 10:36:31.415 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
29-02-2024 10:36:31.634 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
29-02-2024 10:36:31.907 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
29-02-2024 10:36:31.922 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8080 (http) with context path ''
29-02-2024 10:36:31.928 [main] INFO  com.example.demo.DemoApplication.logStarted - Started DemoApplication in 3.267 seconds (process running for 3.918)
